"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"VVPR","Vivopower International Plc","United Kingdom","United Kingdom","Utilities","Yes","No","$96,786,715","76,308","Analyze"
"SNT","Senstar Technologies Ltd.","Israel","","Industrials","Yes","No","$96,185,874","80,146","Analyze"
"WNW","Wunong Net Technology Co Ltd","China","","Consumer Discretionary","Yes","No","$95,250,000","121,639","Analyze"
"NM","Navios Maritime Inc","Monaco","Marshall Islands","Industrials","Yes","No","$93,633,707","620,190","Analyze"
"MDWD","Mediwound Ltd.","Israel","Israel","Health Care","Yes","No","$90,426,017","92,631","Analyze"
"CGA","China Green Agriculture Inc.","China","","Materials","No","No","$88,441,094","10,380","Analyze"
"EDRY","Eurodry Ltd.","Greece","","Industrials","Yes","No","$88,172,897","41,266","Analyze"
"AAME","Atlantic American Corp","China","USA","Financials","No","No","$84,704,666","25,989","Analyze"
"VSTA","Vasta Platform Limited - Class A","Brazil","","Consumer Discretionary","Yes","No","$80,431,880","43,753","Analyze"
"OCG","Oriental Culture Holding LTD","China","","Consumer Discretionary","Yes","No","$79,529,930","173,247","Analyze"
"PETZ","TDH Holdings Inc.","China","","Consumer Staples","Yes","No","$78,578,493","221,940","Analyze"
"UK","Ucommune International Ltd","China","","Real Estate","Yes","No","$77,937,707","116,700","Analyze"
"BRQS","Borqs Technologies Inc.","Chile","","Information Technology","Yes","No","$77,587,040","3,067,075","Analyze"
"VQS","VIQ Solutions Inc.","Canada","","Information Technology","Yes","No","$73,524,590","189,831","Analyze"
"RCON","Recon Technology, Ltd.","China","","Energy","Yes","No","$72,892,070","1,705,491","Analyze"
"GAME","Engine Media Holdings, Inc.","Canada","","Communication Services","Yes","No","$69,789,457","197,386","Analyze"
"GTEC","Greenland Technologies Holding Corporation","China","","Industrials","No","No","$69,705,278","25,587","Analyze"
"WKSP","Worksport, Ltd","Canada","","Consumer Discretionary","No","No","$67,918,935","412,877","Analyze"
"GLMD","Galmed Pharmaceuticals Ltd.","Israel","","Health Care","Yes","No","$67,726,568","71,799","Analyze"
"MNDO","Mind Cti Ltd","Israel","Israel","Information Technology","Yes","No","$64,953,935","18,344","Analyze"
"FAMI","Farmmi Inc","China","","Consumer Staples","Yes","No","$64,164,093","271,326,242","Analyze"
"DSWL","Deswell Industries Inc.","China","","Consumer Discretionary","Yes","No","$63,979,985","8,250","Analyze"
"SBET","SharpLink Gaming Ltd.","Israel","","Consumer Discretionary","Yes","No","$62,226,700","1,338,639","Analyze"
"BRLI","Brilliant Acquisition Corporation","China","","Financials","No","No","$62,026,650","3,879","Analyze"
"ZKIN","Zk International Group Co., Ltd","China","","Materials","Yes","No","$61,405,505","388,995","Analyze"
"TOPS","Top Ships Inc.","Greece","","Industrials","Yes","No","$61,341,237","1,018,212","Analyze"
"CLPS","CLPS Inc","China","","Information Technology","Yes","No","$61,202,460","142,273","Analyze"
"GLG","China Bat Group, Inc.","China","","Financials","No","No","$60,151,548","280,341","Analyze"
"NBRV","Nabriva Therapeutics Plc","Ireland","Ireland","Health Care","No","No","$59,686,660","533,025","Analyze"
"PME","Pingtan Marine Enterprise Ltd.","China","Australia","Consumer Staples","No","No","$59,290,672","267,859","Analyze"
"TATT","Tat Technologies Ltd.","Israel","","Industrials","Yes","No","$58,750,488","20,647","Analyze"
"AGBA","AGBA Acquisition Limited","Hong Kong","","Financials","No","No","$58,398,923","14,079","Analyze"
"CSCW","Color Star Technology Co. Ltd.","China","Cayman Islands","Information Technology","Yes","No","$58,269,843","5,494,617","Analyze"
"OBAS","Optibase Ltd.","Israel","","Real Estate","Yes","No","$56,961,516","1,852","Analyze"
"GFAI","Guardforce AI Co., Limited","Thailand","","Industrials","Yes","No","$56,615,317","287,852","Analyze"
"SEED","Origin Agritech Limited","China","","Consumer Staples","Yes","No","$54,312,120","89,200","Analyze"
"CPOP","Pop Culture Group Co., Ltd","China","","Communication Services","Yes","No","$53,175,554","478,650","Analyze"
"IFBD","Infobird Co., Ltd","China","","Information Technology","Yes","No","$52,772,500","169,410","Analyze"
"MKD","Molecular Data Inc. ADRs of Class A","China","","Information Technology","Yes","No","$51,854,850","20,330,250","Analyze"
"SDH","Global Internet of People, Inc.","China","","Industrials","Yes","No","$51,744,000","9,606","Analyze"
"VMAR","Vision Marine Technologies Inc.","Canada","","Consumer Discretionary","Yes","No","$49,664,269","26,624","Analyze"
"CCNC","Code Chain New Continent Limited","China","","Industrials","No","No","$49,574,206","588,933","Analyze"
"UPC","Universe Pharmaceuticals Inc","China","","Health Care","Yes","No","$49,350,000","146,857","Analyze"
"BAOS","Baosheng Media Group Holdings Limited","China","","Communication Services","Yes","No","$48,865,509","210,533","Analyze"
"CNET","Chinanet Online Holdings Inc.","China","","Information Technology","No","No","$46,992,460","2,215,953","Analyze"
"MDJH","MDJM LTD","China","","Real Estate","Yes","No","$46,854,301","8,532","Analyze"
"IMTE","Integrated Media Technology Limited","Australia","","Communication Services","Yes","No","$46,460,512","70,099","Analyze"
"PBTS","Powerbridge Technologies Co., Ltd.","China","","Information Technology","Yes","No","$46,235,091","6,684,170","Analyze"
"CHNR","China Natural Resources Inc.","China","","Materials","Yes","No","$45,537,698","67,137","Analyze"
"DTSS","Datasea Inc.","China","","Industrials","No","No","$44,952,759","414,791","Analyze"
"JZXN","Jiuzi Holdings, Inc.","China","","Consumer Discretionary","Yes","No","$44,939,057","1,465,748","Analyze"
"UTME","UTime Limited","China","","Consumer Discretionary","Yes","No","$44,646,082","97,456","Analyze"
"PLIN","China Xiangtai Food Co., Ltd.","China","","Consumer Staples","Yes","No","$44,621,973","53,657","Analyze"
"METX","Meten EdtechX Education Group Ltd.","China","","Consumer Discretionary","Yes","No","$43,055,311","33,968,792","Analyze"
"CREG","China Recycling Energy Corporation","China","","Industrials","No","No","$41,652,696","73,211","Analyze"
"UTSI","Utstarcom Holdings Corp","Hong Kong","","Communication Services","Yes","No","$41,283,015","24,751","Analyze"
"APWC","Asia Pacific Wire & Cable Corporation Limited","Taiwan","","Information Technology","Yes","No","$40,491,630","15,953","Analyze"
"BGI","Birks Group Inc.","Canada","","Consumer Discretionary","Yes","No","$40,321,697","180,104","Analyze"
"PLAG","Planet Green Holdings Corp.","China","","Consumer Staples","No","No","$39,180,148","920,161","Analyze"
"CHEK","Check-Cap Ltd.","Israel","","Health Care","Yes","No","$38,521,863","831,482","Analyze"
"AIHS","Senmiao Technology Limited","China","","Financials","No","No","$36,598,259","3,596,884","Analyze"
"EEIQ","Elite Education Group International Ltd","China","British Virgin Islands","Consumer Discretionary","Yes","No","$35,881,440","1,313,498","Analyze"
"GLBS","Globus Maritime Limited","Greece","","Industrials","Yes","No","$34,887,828","751,609","Analyze"
"SNTG","Sentage Holdings Inc.","China","","Financials","Yes","No","$34,580,000","1,121,406","Analyze"
"BNSO","Bonso Electronics International Inc.","Hong Kong","","Information Technology","Yes","No","$33,745,307","7,108","Analyze"
"YGMZ","MingZhu Logistics Holdings Ltd","China","","Industrials","Yes","No","$33,602,989","136,691","Analyze"
"PXS","Pyxis Tankers Inc.","Greece","","Industrials","Yes","No","$33,446,782","1,258,527","Analyze"
"AGRI","AgriFORCE  Growing Systems Ltd.","Canada","","Consumer Staples","No","No","$33,114,112","200,405","Analyze"
"FFHL","Fuwei Films (Holdings) Co. Ltd.","China","","Consumer Discretionary","Yes","No","$32,984,954","6,863","Analyze"
"ELTK","Eltek Ltd.","Israel","","Information Technology","Yes","No","$32,881,210","14,913","Analyze"
"EZGO","EZGO Technologies Ltd.","China","","Consumer Discretionary","Yes","No","$32,407,115","202,176","Analyze"
"MTC","MMTec, Inc.","China","","Financials","Yes","No","$31,902,400","87,765","Analyze"
"INDO","Indonesia Energy Corporation Limited","Indonesia","","Energy","Yes","No","$31,828,787","42,337","Analyze"
"BHAT","Blue Hat Interactive Entertainment Technology","China","","Communication Services","Yes","No","$30,784,332","419,618","Analyze"
"ZCMD","Zhongchao Inc. - Class A","China","","Health Care","Yes","No","$30,202,543","49,469","Analyze"
"GMVD","G Medical Innovations Holdings Ltd.","Israel","","Health Care","Yes","No","$29,960,176","110,398","Analyze"
"APM","Aptorum Group Limited - Class A","Hong Kong","","Health Care","Yes","No","$28,960,810","110,258","Analyze"
"PSHG","Performance Shipping Inc.","Greece","","Industrials","Yes","No","$28,920,711","49,652","Analyze"
"TANH","Tantech Holdings Ltd.","China","","Materials","Yes","No","$28,386,940","259,441","Analyze"
"HAPP","Happiness Biotech Group Limited","China","","Health Care","Yes","No","$28,118,662","412,163","Analyze"
"TAOP","Taoping Inc.","China","","Information Technology","Yes","No","$27,839,321","115,862","Analyze"
"GIGM","Gigamedia Limited","Taiwan","","Information Technology","Yes","No","$27,299,020","45,802","Analyze"
"PRFX","PainReform Ltd.","Israel","","Health Care","Yes","No","$27,148,525","107,663","Analyze"
"WAFU","Wah Fu Education Group Limited","China","","Consumer Discretionary","Yes","No","$26,817,669","196,525","Analyze"
"CJJD","China Jo-Jo Drugstores Inc.","China","","Consumer Staples","No","No","$25,744,154","70,626","Analyze"
"NLSP","NLS Pharmaceutics Ltd.","Switzerland","","Health Care","Yes","No","$25,537,235","43,238","Analyze"
"PHCF","Puhui Wealth Investment Management Co., Ltd.","China","","Financials","Yes","No","$23,360,343","1,027,923","Analyze"
"TIRX","Tian Ruixiang Holdings Ltd.","China","","Financials","Yes","No","$22,950,000","232,536","Analyze"
"YVR","Liquid Media Group Ltd.","Canada","","Consumer Discretionary","Yes","No","$22,557,654","448,732","Analyze"
"LYL","Dragon Victory International Limited","China","","Financials","Yes","No","$22,414,582","236,677","Analyze"
"CYTO","Altamira Therapeutics Ltd.","Bermuda","Bermuda","Health Care","Yes","No","$22,006,994","450,172","Analyze"
"RETO","Reto Eco-Solutions, Inc.","China","","Materials","Yes","No","$21,695,524","123,790","Analyze"
"SVFD","Save Foods, Inc.","Israel","","Materials","No","No","$17,721,809","18,522","Analyze"
"IINN","Inspira Technologies Oxy B.H.N. Ltd.","Israel","","Health Care","Yes","No","$16,767,560","271,769","Analyze"
"AEHL","Antelope Enterprise Holdings Limited","China","","Materials","Yes","No","$16,539,225","1,838,066","Analyze"
"EDTK","Skillful Craftsman Education Technology Limited","China","","Consumer Discretionary","Yes","No","$16,440,000","294,326","Analyze"
"HIHO","Highway Holdings Limited","Hong Kong","","Industrials","Yes","No","$16,348,909","22,869","Analyze"
"BOSC","B.O.S. Better Online Solutions","Israel","","Industrials","Yes","No","$16,256,165","20,340","Analyze"
"CLEU","China Liberal Education Holdings Limited","China","","Consumer Discretionary","Yes","No","$15,769,999","1,045,050","Analyze"
"SXTC","China SXT Pharmaceuticals, Inc.","China","","Health Care","Yes","No","$15,074,866","318,322","Analyze"
"HUSN","Hudson Capital Inc.","China","","Financials","Yes","No","$14,477,890","81,433","Analyze"
"CLWT","Euro Tech Holdings Company Limited","Hong Kong","","Industrials","Yes","No","$11,412,650","23,328","Analyze"
"LLL","JX Luxventure Limited","China","","Consumer Discretionary","Yes","No","$11,009,927","122,053","Analyze"
"SPCB","Supercom, Ltd.","Israel","","Industrials","Yes","No","$18,136","161,822","Analyze"
"IHS","IHS Holding Ltd","United Kingdom","","Unknown","Yes","No","$0","3,337,496","Analyze"
